2018-09-08 IP-2005819 19036,20326 1
2018-09-08 IP-2684631 19036,20326 2
2018-09-08 IP-2698898 19036,20326 9
2018-09-08 IP-2698899 19036,20326 1
2018-09-08 IP-1078637 19036,20326 1
2018-09-08 IP-2698900 19036,20326 1
2018-09-08 IP-1366732 19036,20326 1
2018-09-08 IP-2698901 19036,20326 1
2018-09-08 IP-2640804 19036,20326 1
2018-09-08 IP-2698902 19036,20326 1
2018-09-08 IP-2698903 19036,20326 1
2018-09-08 IP-1063825 19036,20326 1
2018-09-08 IP-0360098 19036,20326 2
2018-09-08 IP-0316536 19036,20326 1
2018-09-08 IP-0799290 19036,20326 1
2018-09-08 IP-1300146 19036,20326 1
2018-09-08 IP-1215704 19036,20326 1
2018-09-08 IP-2698904 19036,20326 1
2018-09-08 IP-0482485 19036,20326 1
2018-09-08 IP-0382945 19036,20326 1
2018-09-08 IP-2698905 19036,20326 1
2018-09-08 IP-1383161 19036,20326 1
2018-09-08 IP-1349361 19036,20326 2
2018-09-08 IP-0799298 19036,20326 1
2018-09-08 IP-2145846 19036,20326 2
2018-09-08 IP-2021380 19036,20326 1
2018-09-08 IP-0542544 19036 2
2018-09-08 IP-0295925 19036 1
2018-09-08 IP-0765466 19036,20326 1
2018-09-08 IP-0012442 19036,20326 1
2018-09-08 IP-2626704 19036,20326 1
2018-09-08 IP-1015419 19036,20326 1
2018-09-08 IP-2626705 19036 4
2018-09-08 IP-2570280 19036 3
2018-09-08 IP-2613538 19036 5
2018-09-08 IP-0923545 19036,20326 2
2018-09-08 IP-2626708 19036,20326 1
2018-09-08 IP-1801301 19036,20326 1
2018-09-08 IP-0907788 19036,20326 3
2018-09-08 IP-0923546 19036,20326 1
2018-09-08 IP-1866007 19036,20326 2
2018-09-08 IP-0999908 19036,20326 241
2018-09-08 IP-2640812 19036,20326 3
2018-09-08 IP-1015421 19036,20326 1
2018-09-08 IP-0953959 19036,20326 2
2018-09-08 IP-0620896 19036,20326 1
2018-09-08 IP-2177176 19036,20326 366
2018-09-08 IP-0718969 19036,20326 1
2018-09-08 IP-1232009 19036,20326 1
2018-09-08 IP-0999909 19036,20326 1
2018-09-08 IP-0907790 19036,20326 1
2018-09-08 IP-0125726 19036,20326 1
2018-09-08 IP-1926911 19036,20326 1
2018-09-08 IP-1691966 19036,20326 1
2018-09-08 IP-1183476 19036,20326 2
2018-09-08 IP-1607954 19036,20326 3
2018-09-08 IP-0799308 19036,20326 1
2018-09-08 IP-1894514 19036,20326 4
2018-09-08 IP-2698906 19036,20326 1
2018-09-08 IP-1465063 19036,20326 5211
2018-09-08 IP-1926914 19036,20326 2
2018-09-08 IP-0145549 19036,20326 9
2018-09-08 IP-0151275 19036,20326 10
2018-09-08 IP-0702024 19036,20326 1
2018-09-08 IP-1626041 19036,20326 1
2018-09-08 IP-1248829 19036,20326 1
2018-09-08 IP-0039292 19036,20326 5
2018-09-08 IP-0011435 19036,20326 4
2018-09-08 IP-0006148 19036,20326 22
2018-09-08 IP-0013920 19036,20326 11
2018-09-08 IP-1502707 19036,20326 1
2018-09-08 IP-2069548 19036,20326 2
2018-09-08 IP-1626043 19036,20326 1
2018-09-08 IP-0122990 19036,20326 22
2018-09-08 IP-0103301 19036,20326 19
2018-09-08 IP-0043906 19036,20326 14
2018-09-08 IP-0082471 19036,20326 18
2018-09-08 IP-2698907 19036,20326 1
2018-09-08 IP-0907796 19036,20326 1
2018-09-08 IP-1527409 19036,20326 1
2018-09-08 IP-0010372 19036,20326 18
2018-09-08 IP-0009908 19036 1
2018-09-08 IP-0009908 19036,20326 16
2018-09-08 IP-1415809 19036,20326 1
2018-09-08 IP-0220106 19036,20326 1
2018-09-08 IP-1626046 19036,20326 2
2018-09-08 IP-2206946 19036,20326 1
2018-09-08 IP-0003683 19036,20326 1
